implementation_id,control_family_id,legacy_ids,intervention,layer,instrument_class,operative_instrument_legal_basis,implementer,jurisdiction,legal_force,legal_status,legal_scope_correction,operational_maturity,mechanism_targeted,causal_chain_point,agency_domain,primary_evidence_basis,mechanism_evidence_tier,intervention_effect_evidence,claim_class,expected_effect,main_failure_evasion,rights_trade_offs,metric,decision_tier,decision_rationale,horizon_date,part_1_linkage,part_2_linkage,last_reviewed,notes,family_name,mechanism_ids,context_entity_ids,research_gap_ids,claim_ids,effect_claim_ids,legal_claim_ids,mechanism_claim_ids,source_ids,policy_package_ids,effect_claim_checked,legal_claim_checked,mechanism_claim_checked,effect_claim_reviewed,priority_effect_review_outcomes,priority_effect_publication_actions,publication_claim_class,publication_status
I-059,CF-045,P4-059,Statutory political-ad libraries and regulator/researcher access to platform exposure data,Cross-layer,Research / evaluation,Electoral Commission reform recommendation,"Would require UK Parliament or government, platforms, Electoral Commission, Ofcom and ICO",United Kingdom,Proposed,Proposed / pending,Proposed; not a general statutory requirement as of 2026-08-11,Design-ready,"Require every platform carrying political ads to maintain a comprehensive library with sponsor, targeting, actual reach and spend, and create meaningful data access for regulators and independent researchers.",Opaque platform ads and ranking → unobservable targeting and amplification → voter influence → agency transfer → no accountability; access makes the pathway measurable.,Attentional; Evaluative; Decisional; Relational,Normative proposal,None,Indirect / mixed,Plausible hypothesis,"Would close the UK's reliance on voluntary, inconsistent libraries and make algorithmic political reach auditable.",Privacy and trade-secret limits; platform exit from ads; organic influence remains hidden; data can arrive too late for election response.,"Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Platform coverage; field completeness; API availability; actual versus reported reach; researcher access times; detected foreign or unlawful spending.,Research / hold,"Decision follows legal maturity, causal plausibility, reversibility and current evidence—not a composite score.",6–18 months,No direct link,No direct link,2026-08-11,,"Political-ad transparency, targeting and repositories",M-03; M-05; M-09; M-12; M-14,C-06,G-07,CLM-0158; CLM-0159,CLM-0159,,CLM-0158,SRC-038,P07,false,false,false,false,,,Plausible hypothesis,research_preview
I-060,CF-052,P4-060,Treat AI-cloned voices in robocalls as artificial voices requiring consent,Cross-layer,Policy / organizational control,FCC Declaratory Ruling under the TCPA,"FCC, state attorneys general and telecom providers",United States,Binding,Applicable,In force; applied in the New Hampshire robocall matter,Operational,"Apply TCPA consent and identification rules to AI-generated or cloned voices classified as artificial or prerecorded voices, subject to statutory exemptions.",Campaign operative → cloned candidate voice → mass calls → false instruction or turnout suppression → agency transfer to caller → electoral harm.,Multiple / context-dependent,Legal / operational precedent,None,None — legal existence only,Established — legal status,Uses mature robocall law to impose consent and enforcement costs on a high-risk impersonation vector.,"Caller-ID spoofing, offshore operators, peer-to-peer messages and non-voice synthetic content can evade; consent exceptions and enforcement latency remain.","Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Complaint volume; blocked calls; trace-back success; time-to-enforcement; penalties collected; repeat offending; estimated voter reach.,Enforce now,Enforce legal scope; measure implementation and rights costs separately from legal existence.,0–6 months,No direct link,No direct link,2026-08-11,This is not a ban on every AI political message: prior express consent and exemptions depend on call purpose and context.,Synthetic impersonation and authenticity controls,M-05; M-08; M-16,C-03; X-01,,CLM-0160; CLM-0161; CLM-0162,CLM-0162,CLM-0160,CLM-0161,SRC-039,P09,false,false,false,false,,,Provisional — legal status not claim-checked,research_preview
I-061,CF-052,P4-061,Apply federal fraudulent-misrepresentation rules to AI that falsely claims campaign authority,Electoral operations,Law / regulation,FEC interpretive rule under 52 U.S.C. §30124 and 11 C.F.R. §110.16,Federal Election Commission,United States federal elections,Binding,Partial / verify,Interpretive rule adopted; broader AI rulemaking declined in 2024,Partial / uneven,"Clarify that existing law can cover AI communications where a candidate or agent falsely purports to speak, act or fundraise on behalf of another candidate or party; it does not generally prohibit false depictions with a truthful disclaimer.",Candidate or agent → AI impersonation of rival campaign authority → voter or donor → source deception → agency transfer to impersonator → electoral or financial harm.,Epistemic; Decisional; Executive,Legal / operational precedent,None,None — legal existence only,Established — legal status,Protects authentic campaign authority and donations from a limited class of AI impersonation.,"Leaves most candidate deepfakes, lies, issue ads and third-party content outside the rule; FEC deadlock and slow enforcement reduce real-time value.","Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Complaints and matters under review; time to disposition; proven authority impersonations; voter or donor losses; repeat incidents.,Monitor / shape,"Decision follows legal maturity, causal plausibility, reversibility and current evidence—not a composite score.",0–6 months,No direct link,Contextual capability link,2026-08-11,The FEC interpretation covers two narrow fraudulent-misrepresentation settings involving purported campaign authority; it is not a federal deepfake ban.,Synthetic impersonation and authenticity controls,M-06; M-08; M-13; M-16,C-03; X-01,,CLM-0163; CLM-0164; CLM-0165,CLM-0165,CLM-0163,CLM-0164,SRC-040,P09,false,false,false,false,,,Provisional — legal status not claim-checked,research_preview
I-062,CF-052,P4-062,On-air and political-file disclosure of AI-generated content in broadcast political ads,Platform / distribution,Law / regulation,"FCC Notice of Proposed Rulemaking, proceeding 24-211","Would be implemented by FCC-regulated broadcasters, cable and satellite entities",United States,Proposed,Proposed / pending,Proposed in 2024; no final rule identified as of 2026-08-11,Design-ready,Require radio and television political ads using AI-generated content to carry an on-air notice and a written disclosure in the station's political file.,Campaign → synthetic broadcast ad → mass audience → false authenticity belief → agency transfer to advertiser → electoral influence.,Epistemic; Evaluative,Normative proposal,None,Indirect / mixed,Plausible hypothesis,Would make synthetic content visible in legacy mass media and create an inspectable record.,FCC jurisdiction largely excludes online and streaming ads; broad definitions may over-label routine editing; disclosure may not neutralise deception.,"Necessity, proportionality, privacy, speech, competition, and access require context-specific review.","If adopted: disclosure compliance, political-file completeness, audience comprehension, complaints and cross-channel coverage gaps.",Research / hold,"Decision follows legal maturity, causal plausibility, reversibility and current evidence—not a composite score.",6–18 months,No direct link,No direct link,2026-08-11,The NPRM concerns radio and television political ads and political-file disclosure; it is not a final rule or a cross-platform online standard.,Synthetic impersonation and authenticity controls,M-03; M-08; M-09; M-13; M-16,C-03; X-01,,CLM-0166; CLM-0167,CLM-0167,,CLM-0166,,P09,false,false,false,false,,,Plausible hypothesis,research_preview
I-063,CF-052,P4-063,Platform duty to remove or label materially deceptive election deepfakes during a defined election window,Platform / distribution,Law / regulation,"California Defending Democracy from Deepfake Deception Act, AB 2655",Large platforms and California enforcement authorities,"California, United States",Binding — limited scope,Contested / enjoined,California AB 2655 was enacted but permanently enjoined as applied to the successful plaintiffs; appeal remained pending in 2026.,Partial / uneven,"California AB 2655 required large platforms to block specified deceptive election content or label it, provide reporting channels and respond within short timeframes.",AI creator → viral candidate or election deepfake → voter → false belief → agency transfer to creator → electoral harm; platform action attempts to stop distribution.,Epistemic; Decisional; Collective / institutional,Legal / operational precedent,None,Indirect / mixed,Established — legal status,The intended effect was rapid reduction of deceptive synthetic reach; the actual contribution is a warning that broad platform-liability designs can collapse under intermediary-liability and speech law.,"Over-removal of satire and political speech, vague deception thresholds, prior-restraint concerns, Section 230 pre-emption and strategic reporting abuse.","Necessity, proportionality, privacy, speech, competition, and access require context-specific review.","If redesigned: adjudicated precision, removal latency, restored-content rate, satire/parody false positives, reach prevented, litigation survival.",Monitor / shape,"Decision follows legal maturity, causal plausibility, reversibility and current evidence—not a composite score.",6–18 months,No direct link,No direct link,2026-08-11,,Synthetic impersonation and authenticity controls,M-08; M-09; M-13; M-14; M-16,C-03; C-04; X-01,G-09; G-14,CLM-0168; CLM-0169; CLM-0320,CLM-0169,CLM-0320,CLM-0168,SRC-042,P09,false,false,false,false,,,Provisional — legal status not claim-checked,research_preview
I-064,CF-029,P4-064,End-to-end cryptographic provenance and interoperable Content Credentials,Platform / distribution,Technical standard / product control,"C2PA technical standard, complemented by NIST synthetic-content guidance","Model providers, camera and editing vendors, newsrooms, campaigns and platforms","Global, voluntary technical ecosystem",Voluntary / private,Operational voluntary,C2PA 2.2 published May 2025; adoption expanding but incomplete,Operational,"Bind signed assertions about origin and edit history to media, preserve or recover credentials across transformations, and display provenance at consumption.",Creator or model → media asset → platform and voter → uncertainty about source and edits → exploitable trust asymmetry; provenance restores verifiable history and contestability.,Epistemic; Decisional; Relational,Normative proposal,None,Indirect / mixed,Plausible hypothesis,"Authenticates known-good media and carries origin information across the supply chain, stronger than unreliable deepfake detection alone.","Credential stripping, screenshots, unsigned legacy content, compromised signing keys, uneven adoption and the false inference that uncredentialed means fake.","Necessity, proportionality, privacy, speech, competition, and access require context-specific review.","Signing adoption by model, newsroom and campaign; credential survival across platforms; validation success; key compromise rate; user recognition; coverage of viral election media.",Implement now,"Decision follows legal maturity, causal plausibility, reversibility and current evidence—not a composite score.",6–18 months,No direct link,No direct link,2026-08-11,,Synthetic-output provenance and disclosure,M-05; M-08; M-09; M-13; M-15,C-03; C-04; X-01,G-09; G-12,CLM-0170; CLM-0171; CLM-0172,CLM-0172,CLM-0170,CLM-0171,SRC-043,P09,false,false,false,false,,,Plausible hypothesis,research_preview
I-065,CF-065,P4-065,Election-specific human-rights risk assessment for digital platforms,Platform / distribution,Governance / assurance,UNESCO Guidelines for the Governance of Digital Platforms,"States, independent regulators and digital platforms",Global normative framework,Voluntary / private,Operational voluntary,Published and being used in implementation initiatives,Operational,"Require or encourage platforms to perform an election-cycle risk assessment, engage election administrators and civil society, assess design changes and take enhanced measures during elections and crises.",Platform product decision → altered amplification or access → electoral public → rights and agency effects → power concentration; assessment inserts rights review before deployment.,Attentional; Decisional; Collective / institutional,Normative proposal,None,Indirect / mixed,Plausible hypothesis,Offers a rights-based baseline for countries without a DSA-style regime and frames elections as a heightened-risk period.,"Soft-law compliance, regulator dependence, government capture and limited remedies; generic assessments may miss local languages, messaging apps and AI agents.","Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Publication and independence of assessments; stakeholder participation; mitigation closure; rights indicators; local-language coverage; post-election evaluation.,Implement now,"Decision follows legal maturity, causal plausibility, reversibility and current evidence—not a composite score.",6–18 months,No direct link,No direct link,2026-08-11,,Human-rights and democratic-risk assessment,M-05; M-06; M-09; M-11; M-14,C-02; C-06,G-06; G-07; G-12; G-14,CLM-0173; CLM-0174; CLM-0175,CLM-0175,CLM-0173,CLM-0174,SRC-044,G0; P13,false,false,false,false,,,Plausible hypothesis,research_preview
I-066,CF-066,P4-066,Political-party code for ethical digital campaigning and AI use,Electoral operations,Policy / organizational control,International IDEA Code of Conduct for the 2024 European Parliament Elections,"Political parties, with election bodies and civil-society monitoring",European and adaptable globally,Voluntary / private,Partial / verify,Signed by European political parties in 2024; model available for national adaptation,Partial / uneven,"Secure public commitments by parties not to create, use or disseminate deceptive synthetic content or manipulative campaign techniques, to label AI use, protect cybersecurity and disclose campaign practices.",Party or campaign → AI-enabled content or targeting → electorate → preference or trust change → agency transfer to campaign → electoral advantage; party commitments constrain the controller directly.,Evaluative; Relational; Collective / institutional,Normative proposal,None,Indirect / mixed,Plausible hypothesis,Reaches party behaviour that platform rules cannot fully observe and establishes a public norm against agency-undermining tactics.,"No enforcement, selective sign-up, third-party proxies, vague AI definitions and incentives to defect in close races.","Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Party coverage; disclosed AI uses; independently verified violations; corrective action; proxy spending; voter awareness of commitments.,Implement now,"Decision follows legal maturity, causal plausibility, reversibility and current evidence—not a composite score.",6–18 months,No direct link,Contextual capability link,2026-08-11,,Political-party code for ethical digital campaigning and AI use,M-03; M-05; M-08; M-14; M-16,C-02; C-06; X-01,G-07; G-14,CLM-0176; CLM-0177; CLM-0178,CLM-0178,CLM-0176,CLM-0177,SRC-045,P13,false,false,false,false,,,Plausible hypothesis,research_preview
I-067,CF-067,P4-067,Forwarding limits and forwarded-message friction in encrypted messaging,Cross-layer,Policy / organizational control,WhatsApp product policy and rate limits,WhatsApp/Meta,Global,Voluntary / private,Operational voluntary,Operational,Operational,"Limit forwarding to five chats and restrict already or highly forwarded messages to one chat at a time, while attaching forwarded labels.",Campaign network → encrypted mass forwarding → trusted peer groups → belief and mobilisation change → agency transfer to network organiser → concentrated hidden reach.,Epistemic; Attentional; Relational,Normative proposal,E1,Field / operational component evidence,Established — component effect,Adds cost and time to viral distribution without breaking end-to-end encryption or reading message content.,"Automation, many accounts, broadcast lists, groups, paid senders and copy-paste evade forwarding limits; legitimate civic information is also slowed; metadata enforcement can raise privacy concerns.","Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Reproduction number and diffusion depth; time to reach thresholds; highly-forwarded share; coordinated sender clusters; user reports; false and true content reach differential.,Implement now,Low-regret component with bounded evidence; monitor transfer and rights costs.,0–6 months,No direct link,No direct link,2026-08-11,,Messaging friction and mass-contact constraints,M-05; M-10; M-11; M-13; M-15,C-02,G-08; G-12,CLM-0179; CLM-0180; CLM-0181,CLM-0181,CLM-0179,CLM-0180,SRC-046,P13,false,false,false,true,Partially supported,Narrow and downgrade,Provisional — effect evidence not claim-checked,research_preview
I-068,CF-068,P4-068,Technique-based prebunking and election media literacy,Societal resilience,Information / resilience,"Public information campaign, curriculum or platform-delivered inoculation videos","Election authorities, educators, media, civil society and platforms",Global; adapted in EU election campaigns,Voluntary / private,Partial / verify,Field-tested and deployed; not universally institutionalised,Partial / uneven,"Expose voters in advance to short examples of manipulation techniques such as emotional manipulation, false dichotomies, scapegoating, incoherence and impersonation so they recognise tactics before encountering campaign content.",Manipulative content → voter cognitive vulnerability → belief or sharing change → agency transfer to persuader; prebunking strengthens reflective recognition before exposure.,Epistemic; Evaluative; Decisional; Collective / institutional,External empirical,E1,Field / operational component evidence,Established — component effect,Targets manipulation mechanisms rather than partisan truth adjudication and therefore better preserves pluralism and reflective agency.,"Effects decay, short clips may not transfer to novel AI tactics, motivated reasoning persists, blanket scepticism can erode trust, and campaigns may not reach the most exposed groups.","Necessity, proportionality, privacy, speech, competition, and access require context-specific review.","Pre-registered discernment and sharing outcomes; retention at 1, 4 and 12 weeks; exposure and completion; heterogeneous effects; trust calibration; actual sharing behaviour.",Implement now,Low-regret component with bounded evidence; monitor transfer and rights costs.,6–18 months,No direct link,No direct link,2026-08-11,,Technique-based prebunking and election media literacy,M-03; M-08; M-13; M-14; M-16,C-02; C-06,G-06; G-12,CLM-0182; CLM-0183; CLM-0184,CLM-0184,CLM-0182,CLM-0183,SRC-047,P13,false,false,false,true,Partially supported,Narrow endpoint,Provisional — effect evidence not claim-checked,research_preview
I-069,CF-069,P4-069,"Platform political-ad authorisation, archive, AI disclosure and final-week ad freeze",Platform / distribution,Policy / organizational control,Meta advertising policies and election procedures,Meta,Global disclosure policy with election-specific variations; final-week freeze used in the United States,Voluntary / private,Operational voluntary,Operational for 2026 US midterms; EU political ads discontinued by Meta in October 2025,Operational,"Verify political advertisers, archive ads, require self-disclosure for realistic AI-created or altered political ads, add labels and bar new US political ads during the final week when rebuttal time is short.",Advertiser → paid microtargeted synthetic ad → selected voter → deceptive belief with little rebuttal time → agency transfer to advertiser and platform → electoral harm.,Epistemic; Evaluative; Decisional,Normative proposal,None,Indirect / mixed,Plausible hypothesis,Raises source accountability and reduces last-minute paid deception on Meta services.,"Self-disclosure under-detection; old ads can continue during the freeze; organic posts, influencers and messaging remain; platform can change policy unilaterally; EU exit displaces rather than resolves influence.","Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Advertiser-verification failures; AI disclosure recall and classifier catch rate; ad-library completeness; rejected final-week ads; reach shifted to organic or off-platform channels.,Implement now,"Decision follows legal maturity, causal plausibility, reversibility and current evidence—not a composite score.",0–6 months,No direct link,Contextual capability link,2026-08-11,,"Platform political-ad authorisation, archive, AI disclosure and final-week ad freeze",M-03; M-08; M-09; M-11; M-13,C-05; C-06; X-01,G-07,CLM-0185; CLM-0186; CLM-0187,CLM-0187,CLM-0185,CLM-0186,SRC-048,P07,false,false,false,false,,,Plausible hypothesis,research_preview
I-070,CF-029,P4-070,"Explicit, prominent and accessible disclosure of synthetic election content and the technology used",Platform / distribution,Law / regulation,TSE Resolution 23.610/2019 Article 9-B as amended by Resolutions 23.732/2024 and 23.755/2026,"Candidates, parties, federations, coalitions and internet platforms; enforced by Electoral Justice",Brazil,Binding,Applicable,Binding for the 2026 general election; campaign starts 2026-08-16,Operational,"Require election propaganda containing significantly AI-generated or altered text, audio, image or video to disclose fabrication or manipulation in a modality-specific form, including audio notices, watermark and audio description.",Campaign or supporter → synthetic political content → voter → mistaken authenticity → belief or preference change → agency transfer to content controller → electoral advantage.,Epistemic; Evaluative; Decisional; Collective / institutional,Legal / operational precedent,None,None — legal existence only,Established — legal status,Preserves source awareness without banning benign uses of AI and creates a clear enforcement hook.,"Manual non-compliance, re-uploads without labels, ambiguous significant alteration, disclosure fatigue and confusion between AI use and harmful manipulation.","Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Disclosure compliance by modality; label persistence; voter comprehension; removal and fine counts; false-positive exemptions; reach before correction.,Enforce now,Enforce legal scope; measure implementation and rights costs separately from legal existence.,6–18 months,No direct link,Contextual capability link,2026-08-11,,Synthetic-output provenance and disclosure,M-03; M-08; M-09; M-12; M-13,C-03; C-04; C-05; X-01,G-09,CLM-0188; CLM-0189; CLM-0190,CLM-0190,CLM-0188,CLM-0189,SRC-006; SRC-049,P08; P09,false,true,false,false,,,Established — legal status,research_preview
I-071,CF-052,P4-071,Ban on electoral deepfakes used to favour or harm a candidacy,Platform / distribution,Law / regulation,TSE Resolution 23.610 Article 9-C,"Campaigns, Electoral Public Prosecutor, Electoral Justice and platforms",Brazil,Binding,Applicable,In force for 2026,Operational,"Prohibit synthetic audio or video that creates, substitutes or alters the image or voice of a real, deceased or fictional person to favour or harm a candidacy, even with authorisation; violations can constitute abuse of power and misuse of media.",Campaign or proxy → deepfake → electorate → false candidate belief or reputational shock → agency transfer to fabricator → distorted electoral choice.,Epistemic; Decisional,Legal / operational precedent,None,None — legal existence only,Established — legal status,Directly targets candidate impersonation with consequences stronger than a label.,"Definition and satire boundaries, strategic litigation, over-removal, slow adjudication relative to virality and migration to anonymous foreign accounts.","Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Detected and adjudicated deepfakes; time-to-order and removal; reach; sanction consistency; appeal reversals; satire or news false positives.,Enforce now,Enforce legal scope; measure implementation and rights costs separately from legal existence.,0–6 months,No direct link,No direct link,2026-08-11,,Synthetic impersonation and authenticity controls,M-08; M-09; M-13; M-16,C-04; C-05; X-01,G-09,CLM-0191; CLM-0192; CLM-0193,CLM-0193,CLM-0191,CLM-0192,SRC-049,P08; P09,false,true,false,false,,,Established — legal status,research_preview
I-072,CF-072,P4-072,Ban on chatbots or avatars simulating conversation with a candidate or real person,Electoral operations,Law / regulation,TSE Resolution 23.610 Article 9-B paragraph 3,"Campaigns, parties, AI-service providers and Electoral Justice",Brazil,Binding,Applicable,In force for 2026,Operational,"Permit campaign chatbots, avatars and synthetic intermediaries only with disclosure and prohibit simulation of direct interlocution with a candidate or another real person.","Campaign-controlled agent → simulated candidate intimacy → voter → trust, dependency or preference change → agency transfer to campaign → concentrated relational influence.",Evaluative; Decisional; Executive; Relational,Legal / operational precedent,None,None — legal existence only,Established — legal status,Prevents campaigns from manufacturing false personal relationships or apparent direct candidate commitments at scale.,Bots can imply intimacy without literal impersonation; weak disclosure in long conversations; foreign tools and private messaging are hard to observe; overly broad enforcement could block accessibility uses.,"Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Bot registration and disclosure compliance; impersonation test pass rate; conversation-level label persistence; complaints; voter source comprehension; private-channel coverage.,Enforce now,Enforce legal scope; measure implementation and rights costs separately from legal existence.,0–6 months,No direct link,No direct link,2026-08-11,,Ban on chatbots or avatars simulating conversation with a candidate or real person,M-03; M-05; M-06; M-08; M-10,C-04; C-05; X-01,,CLM-0194; CLM-0195; CLM-0196,CLM-0196,CLM-0194,CLM-0195,SRC-049,P08; P09,false,true,false,false,,,Established — legal status,research_preview
I-073,CF-052,P4-073,72-hour pre-vote and 24-hour post-vote blackout for new synthetic candidate or public-figure content,Platform / distribution,Law / regulation,"TSE Resolution 23.610 Article 9-B paragraph 3-A, added by Resolution 23.755/2026","Publishers, users, campaigns, platforms and Electoral Justice",Brazil,Binding,Applicable,New and binding for the 4 October 2026 first round and possible 25 October second round,Operational,"Prohibit publication, republication and paid boosting of new AI-generated or altered content using a candidate's or public figure's image, voice or manifestation during the defined window, even if labelled.",Late synthetic release → high-velocity platforms → voters with no rebuttal time → belief or turnout shock → temporary agency capture → electoral or legitimacy harm.,Epistemic; Decisional; Collective / institutional,Legal / operational precedent,None,None — legal existence only,Established — legal status,"Creates a quiet period for the exact late-breaker mechanism seen in Slovakia, Ireland and Buenos Aires.","Very broad restraint on lawful speech, satire and journalism; re-publication detection at scale is difficult; adversaries can release just before the window or through foreign and encrypted channels.","Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Window violations; time-to-removal; reach accrued; pre-window displacement; appeal and restoration rate; impact on legitimate political media; cross-platform evasion.,Enforce now,Enforce legal scope; measure implementation and rights costs separately from legal existence.,6–18 months,No direct link,Contextual capability link,2026-08-11,,Synthetic impersonation and authenticity controls,M-08; M-09; M-11; M-13; M-14,C-04; C-05; X-01,G-09,CLM-0197; CLM-0198; CLM-0199,CLM-0199,CLM-0197,CLM-0198,SRC-049; SRC-050,P08; P09,false,true,false,false,,,Established — legal status,research_preview
I-074,CF-074,P4-074,Electoral anti-favoritism rule for covered AI systems,Agent / deployment,Law / regulation,"TSE Resolution 23.610 Article 28 paragraph 1-C, added by Resolution 23.755/2026",Providers of internet applications offering AI systems; Electoral Justice,Brazil,Binding — limited scope,Applicable,Brazilian electoral anti-favoritism rule for covered AI systems; not comprehensive neutrality.,Operational,"Prohibit covered AI systems from ranking, recommending or prioritizing electoral actors, expressing electoral preference, recommending a vote, or directly or indirectly favoring or disfavoring them.",AI provider or model controller → assistant answer or ranking → voter delegation and trust → voting preference or decision → agency transfer to AI controller → extreme concentration of electoral influence.,Attentional; Evaluative; Decisional; Relational; Collective / institutional,Legal / operational precedent,None,None — legal existence only,Established — legal status,"Directly targets agency transfer through assistants and recommendation, going beyond content labels and ad transparency.",Overbroad neutrality can suppress legitimate comparative information; hidden bias can persist without explicit recommendations; defining indirect favour is difficult; foreign and open-source assistants may be unreachable.,"Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Pre-registered multilingual neutrality audits; recommendation and refusal rates by candidate and issue; ranking parity; source diversity; correction latency; enforcement and appeal outcomes.,Enforce now,Enforce legal scope; measure implementation and rights costs separately from legal existence.,6–18 months,No direct link,Contextual capability link,2026-08-11,,"Assistant anti-favoritism, loyalty and pluralism",M-03; M-05; M-06; M-07; M-09,C-05; D-01,G-04; G-06; G-07; G-10; G-12; G-16,CLM-0200; CLM-0201; CLM-0202,CLM-0202,CLM-0200,CLM-0201,SRC-049,P08; P10,false,true,false,false,,,Established — legal status,research_preview
I-075,CF-042,P4-075,"Platform election-impact assessments, recommender-system mitigation and result transparency",Platform / distribution,Governance / assurance,TSE Resolution 23.610 Article 9-D,Internet application providers; supervised by TSE and electoral courts,Brazil,Binding,Applicable,In force for 2026,Operational,"Require platforms carrying political-electoral content to publish and implement measures against demonstrably false or severely decontextualised election content, improve recommendation systems, report results and conduct an election-year impact assessment including gendered political violence.","Platform ranking and monetisation → amplified manipulative content → voters and candidates → attention, trust and participation effects → agency transfer to platform and network controllers → democratic harm.",Epistemic; Attentional; Evaluative; Decisional; Relational; Collective / institutional,Legal / operational precedent,None,None — legal existence only,Established — legal status,Shifts responsibility from notice-and-takedown to the platform's recommendation and product architecture.,Platforms define their own assessment methods; ambiguous falsity thresholds; no guaranteed researcher access to exposure data; over-removal and political bias claims; small platforms may lack capacity.,"Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Prevalence and recommendation-driven reach; risk coverage; mitigation effect sizes; gendered-harassment exposure; transparency-field completeness; independent replication; residual risk after each round.,Enforce now,Enforce legal scope; measure implementation and rights costs separately from legal existence.,0–6 months,No direct link,No direct link,2026-08-11,,Platform election-risk assessment and implementation,M-05; M-09; M-10; M-12; M-13,C-01; C-02; C-05,G-12,CLM-0203; CLM-0204; CLM-0205,CLM-0205,CLM-0203,CLM-0204,SRC-049,P08,false,true,false,false,,,Established — legal status,research_preview
I-076,CF-076,P4-076,"Immediate de-amplification, evidence preservation and narrowly bounded corrective promotion",Platform / distribution,Law / regulation,TSE Resolution 23.610 Article 9-D paragraphs 2-4,Platforms and Electoral Justice,Brazil,Binding — limited scope,Applicable,Narrow corrective-promotion remedy for irregularly boosted notably false or gravely decontextualized content.,Operational,"Require covered platforms to stop unlawful boosting or access, investigate involved accounts and preserve evidence; a same-form-and-reach corrective order is limited to false or severely decontextualised content that was irregularly boosted.",Manipulative incident → paid or algorithmic amplification → voter exposure → belief or trust change → agency transfer; de-amplification stops the vector and symmetric correction targets the affected audience.,Epistemic; Attentional; Evaluative; Decisional; Relational; Collective / institutional,Legal / operational precedent,None,None — legal existence only,Established — legal status,"Targets both distribution and residual false belief, and preserves evidence about coordinated accounts.",Immediate action can over-remove lawful speech; matching original reach may amplify the falsehood; closed messaging lacks equivalent targeting; platforms may delete evidence before investigators access it.,"Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Time from detection to de-amplification; reach prevented; evidence preservation; network recurrence; corrective reach overlap with exposed audience; belief correction and appeal outcomes.,Enforce now,Enforce legal scope; measure implementation and rights costs separately from legal existence.,0–6 months,No direct link,No direct link,2026-08-11,Do not generalise the corrective remedy into a universal same-reach right; its statutory trigger and the prior irregular paid boost must be shown. Corrective promotion applies to irregularly boosted notably false or gravely decontextualized content; it does not guarantee equivalent organic reach.,"Immediate de-amplification, evidence preservation and narrowly bounded corrective promotion",M-03; M-05; M-09; M-11; M-12,C-01; C-02; C-03; C-04; C-05; X-01,G-08; G-09; G-12,CLM-0206; CLM-0207; CLM-0208,CLM-0208,CLM-0206,CLM-0207,SRC-049,P08,false,true,false,false,,,Established — legal status,research_preview
I-077,CF-042,P4-077,Mandatory platform election-integrity compliance plans with measurable indicators,Platform / distribution,Law / regulation,TSE Resolution 23.755/2026 Article 125-B and Portaria 463/2026,Internet application providers and TSE presidency,Brazil,Binding — limited scope,Applicable,"Ordinarily covers services above five million monthly active users in Brazil; plans due 2026-08-16, reports 2026-12-19.",Operational,"Require covered platforms to translate each electoral duty into concrete measures, baselines, measurable indicators, deadlines, expected results, impact assessment, evidence preservation, TSE channels and public/supervisory reporting.",Broad legal duties → vague platform promises → unmeasured safeguards → persistent agency transfer; measurable plans create ex ante accountability and enforcement hooks.,Collective / institutional,Legal / operational precedent,None,None — legal existence only,Established — legal status,"Can turn qualitative platform assurances into a comparable, time-bound control register before October.",Indicators may measure activity rather than harm; plans may remain confidential; self-chosen baselines invite gaming; no explicit independent audit or researcher-access guarantee.,"Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Plan publication and completeness; baseline integrity; milestone delivery; outcome-oriented indicators; independent verification; sanctions or loss of accreditation for non-compliance.,Enforce now,Enforce filing and evaluate delivery; plan acceptance is not effectiveness.,Immediate — 2026-08-16,No direct link,No direct link,2026-08-11,"Pre-register plan-quality, exposure, latency, evidence, appeal and rights-cost metrics before the first round; do not infer vote effects from compliance.",Platform election-risk assessment and implementation,M-02; M-04; M-05; M-09; M-12,C-01; C-02; C-05,G-12,CLM-0209; CLM-0210; CLM-0211,CLM-0211,CLM-0209,CLM-0210,SRC-006; SRC-087,P08,false,true,false,false,,,Established — legal status,research_preview
